Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
OhQBAfrf,CYPRUS 1,CHAMPIONSHIP GROUP,2025-05-12,13:00,APOEL,Pafos,3.55,2.15,2.77,1.4,2.82,2.75,1.42,6.1,1.1,3.05,3.4,2.25,1.07,7.4,1.35,3.05,2.02,1.75,3.45,1.28,6.2,1.1,1.82,1.9,1.65,1.3,1.4,7.4,7.3,11.25,23.0,8.5,6.8,9.75,20.0,16.0,11.75,16.5,35.0,40.0,30.0,40.0,80.0,800.0
nDWXHxjK,CYPRUS 1,CHAMPIONSHIP GROUP,2025-05-12,13:00,Aris,Omonia,2.47,2.12,4.25,1.4,2.82,2.65,1.44,5.9,1.11,1.87,3.5,4.0,1.05,8.25,1.26,3.65,1.78,1.98,2.82,1.4,4.9,1.15,1.65,2.1,1.26,1.28,1.95,8.25,12.5,26.0,70.0,7.6,7.2,13.5,37.0,10.0,8.75,14.0,37.0,17.5,15.0,25.0,60.0,400.0
lYEZTbID,SAUDI ARABIA 1,ROUND 31,2025-05-12,13:05,Al Hilal,Al Orubah,1.4,3.4,11.0,1.17,4.85,1.75,2.05,3.25,1.33,1.13,10.0,12.0,1.02,16.0,1.09,7.7,1.28,3.7,1.7,2.15,2.52,1.53,1.91,1.8,1.02,1.03,5.5,34.0,41.0,67.0,151.0,13.0,21.0,34.0,67.0,8.5,12.0,34.0,51.0,8.0,11.0,26.0,67.0,900.0
nqB9nqVq,ITALY 1,ROUND 36,2025-05-12,13:30,Venezia,Fiorentina,3.6,2.05,3.2,1.47,2.65,3.0,1.38,7.0,1.09,2.9,3.2,2.5,1.09,7.4,1.42,2.9,2.25,1.65,4.0,1.25,7.7,1.09,1.91,1.91,1.5,1.36,1.4,8.0,7.5,12.0,23.0,8.0,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,301.0
rDqqpktT,NORWAY 2,ROUND 6,2025-05-12,14:00,Kongsvinger,Odd,2.3,2.4,4.33,1.31,3.2,2.32,1.55,4.8,1.15,1.75,4.1,3.9,1.04,8.75,1.19,4.15,1.6,2.22,2.4,1.5,3.95,1.21,1.62,2.2,1.25,1.22,2.0,15.0,15.0,23.0,41.0,9.0,8.0,13.0,29.0,9.5,8.5,15.0,29.0,15.0,13.0,21.0,41.0,151.0
vFi6ArF8,TURKEY 1,ROUND 35,2025-05-12,14:00,Kayserispor,Antalyaspor,2.6,2.2,4.33,1.44,2.77,2.85,1.42,6.6,1.1,1.91,3.5,3.7,1.07,9.0,1.31,3.45,1.93,1.88,3.25,1.35,6.0,1.13,1.8,1.91,1.29,1.29,1.83,11.0,11.0,19.0,41.0,7.5,7.0,13.0,29.0,9.5,9.0,15.0,34.0,17.0,15.0,26.0,51.0,251.0
xnmBMGiC,POLAND 2,ROUND 32,2025-05-12,14:00,Wisla Plock,Arka Gdynia,2.88,2.2,3.6,1.42,2.65,2.82,1.38,6.1,1.09,2.2,3.3,2.9,1.06,7.2,1.31,3.15,1.91,1.8,3.15,1.31,5.5,1.11,1.8,1.91,1.36,1.3,1.57,10.0,9.5,15.0,34.0,8.0,6.5,11.0,23.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
IiD4WMc5,SWEDEN 2,ROUND 7,2025-05-12,14:00,Landskrona,Orgryte,2.25,2.38,4.75,1.36,2.92,2.5,1.47,5.3,1.12,1.7,3.8,4.5,1.04,8.25,1.22,3.8,1.7,2.05,2.6,1.44,4.4,1.17,1.7,2.05,1.18,1.25,2.1,13.0,15.0,23.0,51.0,8.0,7.5,15.0,34.0,9.0,8.5,15.0,41.0,13.0,13.0,23.0,41.0,201.0
U3I12Wec,NORWAY 2,ROUND 6,2025-05-12,14:00,Skeid,Lillestrom,6.5,2.5,1.91,1.32,3.1,2.37,1.52,5.0,1.14,6.25,4.75,1.44,1.04,8.75,1.2,4.05,1.62,2.18,2.5,1.47,4.1,1.19,1.83,1.83,2.63,1.18,1.13,15.0,7.5,7.5,10.0,19.0,9.0,8.5,12.0,34.0,19.0,19.0,23.0,67.0,41.0,41.0,51.0,251.0
bNdryo6j,POLAND 1,ROUND 32,2025-05-12,14:00,Puszcza,Stal Mielec,3.25,2.2,3.2,1.42,2.75,2.72,1.42,6.1,1.1,2.7,3.2,2.63,1.06,7.9,1.28,3.45,1.85,1.9,3.0,1.36,5.3,1.14,1.7,2.05,1.44,1.36,1.44,11.0,9.5,13.0,26.0,9.5,6.0,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,151.0
jJ6A0AQ9,NORWAY 2,ROUND 6,2025-05-12,14:00,Asane,Stabaek,3.25,2.4,2.88,1.31,3.15,2.3,1.55,4.75,1.15,2.8,3.6,2.25,1.04,8.75,1.18,4.25,1.57,2.27,2.32,1.53,3.85,1.22,1.5,2.5,1.62,1.29,1.4,17.0,11.0,13.0,23.0,13.0,7.5,9.5,17.0,17.0,11.0,11.0,21.0,29.0,21.0,23.0,34.0,101.0
UP1HHqkI,DENMARK 1,RELEGATION GROUP,2025-05-12,14:00,Vejle,Lyngby,3.0,2.1,3.6,1.5,2.57,3.1,1.36,7.3,1.08,2.35,3.1,3.1,1.08,8.0,1.37,3.15,2.1,1.75,3.65,1.29,6.9,1.1,1.8,1.95,1.36,1.36,1.57,8.5,9.5,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,23.0,21.0,29.0,51.0,251.0
nJua6JAE,SWEDEN 1,ROUND 8,2025-05-12,14:10,Goteborg,Djurgarden,3.0,2.1,3.75,1.4,2.8,2.67,1.44,6.0,1.11,2.3,3.3,3.1,1.08,6.9,1.36,3.0,2.05,1.72,3.5,1.27,6.3,1.1,1.91,1.91,1.36,1.33,1.57,9.0,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,301.0
U5DT2scf,ISRAEL 1,CHAMPIONSHIP GROUP,2025-05-12,14:30,H. Beer Sheva,Maccabi Haifa,1.73,2.75,7.0,1.28,3.35,2.2,1.6,4.5,1.17,1.33,5.0,8.0,1.03,9.5,1.16,4.65,1.5,2.42,2.18,1.62,3.5,1.26,1.8,1.91,1.08,1.17,3.25,17.0,23.0,41.0,81.0,9.0,10.0,21.0,51.0,7.5,9.0,19.0,41.0,9.5,11.0,23.0,51.0,201.0
YwKK43Ss,ISRAEL 1,CHAMPIONSHIP GROUP,2025-05-12,14:30,Netanya,Maccabi Tel Aviv,6.5,2.75,1.73,1.26,3.5,2.1,1.65,4.2,1.19,7.5,5.0,1.36,1.03,9.5,1.14,4.85,1.45,2.55,2.1,1.65,3.35,1.28,1.67,2.1,3.0,1.17,1.1,21.0,10.0,8.5,10.0,26.0,10.0,9.0,10.0,41.0,23.0,17.0,21.0,81.0,51.0,41.0,41.0,151.0
