Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
StBmQqlC,ITALY 2,ROUND 34,2025-05-13,15:30,Mantova,Catanzaro,3.1,2.1,3.4,1.5,2.55,2.9,1.4,6.8,1.1,2.5,2.9,2.88,1.09,7.8,1.33,3.4,1.98,1.85,3.25,1.35,6.0,1.13,1.7,2.05,1.4,1.4,1.5,9.5,9.5,15.0,29.0,9.0,6.0,11.0,23.0,13.0,10.0,12.0,34.0,26.0,21.0,29.0,41.0,201.0
6RMvS5Ja,ITALY 2,ROUND 34,2025-05-13,15:30,Juve Stabia,Sampdoria,4.0,2.1,2.88,1.44,2.75,2.8,1.42,6.5,1.1,3.5,3.25,2.0,1.09,7.3,1.4,2.95,2.18,1.7,3.85,1.26,7.4,1.09,1.95,1.8,1.8,1.33,1.29,8.5,7.0,9.5,19.0,9.0,6.5,9.0,19.0,17.0,12.0,17.0,29.0,41.0,29.0,41.0,51.0,351.0
b1JWTRlm,ITALY 2,ROUND 34,2025-05-13,15:30,Cittadella,Salernitana,3.4,2.1,3.2,1.5,2.57,2.87,1.4,6.7,1.1,2.63,3.25,2.5,1.08,7.9,1.32,3.45,1.95,1.87,3.2,1.36,5.9,1.14,1.8,1.95,1.5,1.33,1.44,9.5,8.0,12.0,23.0,8.5,6.5,10.0,21.0,13.0,10.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
CWXK7yYp,ITALY 2,ROUND 34,2025-05-13,15:30,Modena,Cesena,4.0,2.2,2.63,1.44,2.72,2.77,1.44,6.4,1.11,3.6,3.1,2.05,1.07,8.5,1.3,3.55,1.9,1.91,3.15,1.37,5.8,1.14,1.7,2.05,1.73,1.36,1.29,10.0,8.0,10.0,19.0,12.0,6.0,9.0,17.0,19.0,13.0,13.0,26.0,41.0,29.0,34.0,41.0,201.0
ngzzPGhd,SWITZERLAND 1,RELEGATION GROUP,2025-05-13,15:30,Sion,St. Gallen,3.0,2.12,3.3,1.38,2.92,2.55,1.47,5.6,1.12,2.47,3.3,2.75,1.05,8.5,1.24,3.75,1.72,2.05,2.72,1.42,4.7,1.17,1.57,2.27,1.47,1.31,1.55,8.5,10.0,16.5,37.0,9.75,6.8,10.5,23.0,15.0,9.75,12.5,28.0,30.0,20.0,25.0,50.0,300.0
vHx0ZmRP,ITALY 2,ROUND 34,2025-05-13,15:30,Brescia,Reggiana,2.05,2.3,7.0,1.44,2.72,2.92,1.4,6.8,1.09,1.48,3.8,6.0,1.07,8.5,1.34,3.3,2.0,1.82,3.45,1.32,6.5,1.12,2.05,1.7,1.11,1.22,2.5,9.5,15.0,34.0,81.0,6.0,8.0,21.0,51.0,6.5,8.5,21.0,51.0,10.0,13.0,29.0,67.0,451.0
hfsRQxOq,SWITZERLAND 1,RELEGATION GROUP,2025-05-13,15:30,Zurich,Winterthur,2.1,2.4,4.65,1.3,3.3,2.32,1.57,4.9,1.15,1.6,4.3,4.7,1.03,10.0,1.18,4.45,1.55,2.35,2.35,1.55,3.9,1.23,1.62,2.15,1.21,1.21,2.37,10.0,15.5,32.0,90.0,8.5,9.0,16.0,45.0,9.5,8.75,15.5,40.0,13.5,12.5,22.0,60.0,350.0
d05DadY2,SCOTLAND 1,RELEGATION,2025-05-13,15:45,Partick Thistle,Livingston,4.75,2.1,2.5,1.42,2.8,2.8,1.42,6.5,1.1,4.1,3.3,1.85,1.08,7.9,1.38,3.1,2.12,1.72,3.75,1.28,7.1,1.1,1.95,1.8,1.91,1.33,1.22,8.5,6.5,8.5,15.0,10.0,6.5,9.0,17.0,21.0,15.0,17.0,29.0,41.0,34.0,41.0,51.0,351.0
fgSITkkS,NETHERLANDS 1,RELEGATION,2025-05-13,16:00,De Graafschap,Dordrecht,2.22,2.55,3.75,1.22,4.05,1.93,1.8,3.75,1.24,1.78,4.2,3.75,0.0,0.0,1.11,5.9,1.35,3.0,1.85,1.88,2.85,1.39,1.38,2.82,1.29,1.22,2.07,25.0,19.5,32.0,65.0,12.5,10.25,14.5,29.0,14.0,9.5,12.0,25.0,19.0,13.0,16.5,32.0,150.0
OdSjdVml,ENGLAND 2,PLAY OFFS,2025-05-13,16:00,Sunderland,Coventry,2.63,2.1,4.0,1.47,2.65,3.0,1.38,7.0,1.09,2.1,3.4,3.4,1.08,8.25,1.35,3.25,2.02,1.8,3.5,1.31,6.5,1.12,1.8,1.91,1.3,1.3,1.7,9.5,9.5,19.0,41.0,7.5,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,29.0,51.0,251.0
dlsRZtmB,SPAIN 1,ROUND 36,2025-05-13,16:30,Sevilla,Las Palmas,2.4,2.2,4.75,1.4,2.92,2.65,1.47,6.1,1.12,1.8,3.6,4.2,1.08,8.25,1.34,3.3,2.0,1.82,3.45,1.32,6.4,1.12,1.95,1.8,1.22,1.29,1.95,9.5,11.0,21.0,41.0,6.5,7.0,15.0,34.0,8.0,8.5,17.0,41.0,15.0,15.0,29.0,51.0,301.0
02ZP22uJ,ECUADOR 2,ROUND 9,2025-05-13,17:30,Ind. Juniors,Gualaceo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42pI5h3b,COLOMBIA 2,APERTURA,2025-05-13,19:00,Quindio,Orsomarso,3.2,1.75,4.3,1.62,2.02,0.0,0.0,0.0,0.0,2.37,2.57,3.6,0.0,0.0,1.52,2.22,2.47,1.42,4.2,1.15,0.0,0.0,1.98,1.65,1.25,1.42,1.55,5.6,7.9,18.5,60.0,5.8,5.2,12.5,40.0,10.5,9.5,16.0,55.0,26.0,24.0,40.0,100.0,0.0
Uo9PdNoe,COPA SUDAMERICANA,GROUP STAGE,2025-05-13,19:00,Gremio (Bra),Godoy Cruz (Arg),2.3,2.05,6.5,1.5,2.57,3.1,1.35,7.4,1.08,1.7,3.6,5.25,1.1,7.0,1.47,2.72,2.37,1.6,4.4,1.22,8.5,1.07,2.25,1.57,1.17,1.29,2.1,7.0,11.0,26.0,67.0,5.0,7.0,19.0,51.0,6.5,9.0,23.0,51.0,12.0,17.0,41.0,81.0,0.0
2HdKFMZq,COPA SUDAMERICANA,GROUP STAGE,2025-05-13,19:00,Nacional Potosi (Bol),Boston River (Uru),1.73,2.63,8.0,1.32,3.3,2.4,1.55,5.3,1.15,1.33,4.75,9.5,1.04,11.5,1.2,4.55,1.62,2.32,2.5,1.53,4.35,1.22,1.91,1.8,1.07,1.18,3.25,13.0,23.0,41.0,101.0,8.0,9.0,23.0,51.0,7.0,9.0,19.0,51.0,8.5,11.0,26.0,51.0,301.0
IXUJstIN,COPA LIBERTADORES,GROUP STAGE,2025-05-13,19:00,Dep. Tachira (Ven),Central Cordoba (Arg),4.0,2.0,3.0,1.5,2.52,3.2,1.34,7.6,1.08,3.4,3.1,2.25,1.1,6.9,1.47,2.7,2.37,1.6,4.4,1.21,8.5,1.07,2.0,1.75,1.62,1.36,1.3,7.5,6.5,10.0,21.0,8.5,6.0,9.5,21.0,15.0,12.0,17.0,34.0,41.0,29.0,41.0,51.0,401.0
0MH886Bs,ECUADOR 2,ROUND 9,2025-05-13,21:00,Chacaritas,22 de Julio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dOkgduXG,COPA LIBERTADORES,GROUP STAGE,2025-05-13,21:30,Fortaleza (Bra),Bucaramanga (Col),2.05,2.2,8.0,1.45,2.7,3.0,1.38,7.0,1.09,1.48,3.8,8.0,1.09,7.6,1.42,2.92,2.25,1.65,4.0,1.25,7.7,1.09,2.38,1.53,1.08,1.25,2.63,7.5,15.0,41.0,101.0,5.5,7.5,23.0,67.0,6.0,9.0,23.0,67.0,9.5,15.0,41.0,81.0,501.0
Wr1r4EC4,COPA LIBERTADORES,GROUP STAGE,2025-05-13,21:30,Sporting Cristal (Per),Cerro Porteno (Par),3.2,2.2,3.25,1.47,2.62,3.0,1.38,7.1,1.09,2.55,3.4,2.7,1.08,8.25,1.35,3.2,2.05,1.78,3.5,1.31,6.6,1.11,1.75,2.0,1.44,1.3,1.5,10.0,9.0,13.0,26.0,8.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,51.0,201.0
jk3F0u6C,COPA LIBERTADORES,GROUP STAGE,2025-05-13,21:30,U. De Chile (Chi),Carabobo (Ven),1.8,2.38,9.5,1.44,2.72,2.95,1.39,6.9,1.09,1.33,5.25,8.0,1.07,8.75,1.33,3.4,1.95,1.85,3.35,1.33,6.3,1.12,2.5,1.5,1.08,1.17,3.25,10.0,15.0,41.0,101.0,5.5,10.0,23.0,67.0,5.5,9.5,29.0,67.0,7.5,13.0,41.0,101.0,0.0
jZ2RGrwR,COPA SUDAMERICANA,GROUP STAGE,2025-05-13,21:30,Lanus (Arg),Vasco (Bra),2.5,2.05,5.5,1.5,2.57,3.15,1.35,7.5,1.08,1.83,3.5,4.33,1.1,7.0,1.47,2.72,2.37,1.6,4.4,1.22,8.5,1.07,2.2,1.62,1.2,1.29,1.91,7.5,9.5,21.0,51.0,5.5,7.0,15.0,41.0,7.5,9.0,21.0,51.0,15.0,17.0,34.0,81.0,301.0
Cjn4FDu1,COPA SUDAMERICANA,GROUP STAGE,2025-05-13,21:30,Puerto Cabello (Ven),FBC Melgar (Per),3.25,2.1,3.4,1.44,2.75,2.85,1.42,6.6,1.1,2.6,3.2,2.7,1.09,7.6,1.4,3.0,2.18,1.7,3.85,1.27,7.3,1.09,1.83,1.83,1.44,1.36,1.5,8.5,8.0,13.0,26.0,8.0,6.0,11.0,23.0,12.0,10.0,15.0,34.0,26.0,23.0,34.0,51.0,301.0
2DMWf1G7,COPA SUDAMERICANA,GROUP STAGE,2025-05-13,21:30,Union de Santa Fe (Arg),Mushuc Runa (Ecu),2.0,2.3,7.0,1.38,2.95,2.57,1.5,5.8,1.13,1.42,4.0,8.5,1.07,8.5,1.33,3.35,2.0,1.82,3.4,1.32,6.4,1.12,2.0,1.73,1.08,1.22,2.75,10.0,17.0,34.0,81.0,6.5,8.0,21.0,51.0,6.5,8.5,19.0,51.0,10.0,13.0,29.0,67.0,1000.0
z38ic9Q8,COLOMBIA 1,APERTURA,2025-05-13,21:30,Pereira,Dep. Pasto,2.88,1.91,4.75,1.65,2.15,3.85,1.23,9.0,1.04,2.05,3.0,3.75,1.14,5.2,1.6,2.27,2.75,1.42,5.1,1.14,9.0,1.04,2.38,1.53,1.25,1.36,1.73,5.5,7.5,17.0,41.0,5.0,6.5,15.0,41.0,8.5,10.0,23.0,51.0,19.0,23.0,41.0,101.0,0.0
