Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
WhW2zRv1,PARAGUAY 2,ROUND 8,2025-05-13,10:00,Guairena,San Lorenzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKPBY49D,PARAGUAY 2,ROUND 8,2025-05-13,10:00,12 de Junio,River Plate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMxHlE56,EGYPT 1,CHAMPIONSHIP GROUP,2025-05-13,11:00,Pharco,Al Masry,4.7,1.85,2.8,1.6,2.22,3.4,1.27,7.5,1.06,4.15,2.77,2.1,1.14,5.0,1.57,2.25,2.67,1.42,4.85,1.14,8.25,1.04,2.18,1.6,1.72,1.39,1.24,5.0,5.1,8.5,20.0,8.5,5.6,9.25,22.0,21.0,14.5,19.0,45.0,75.0,50.0,65.0,120.0,0.0
GlWPnhzJ,EGYPT 1,CHAMPIONSHIP GROUP,2025-05-13,11:00,Ceramica Cleopatra,Al Ahly,5.3,2.27,2.07,1.34,3.0,2.42,1.5,5.1,1.13,5.4,3.9,1.57,1.04,8.25,1.22,3.85,1.65,2.1,2.55,1.45,4.3,1.18,1.7,2.05,2.4,1.23,1.16,8.25,7.9,8.25,12.0,16.0,7.7,7.9,11.75,35.0,16.5,14.5,22.0,100.0,50.0,45.0,60.0,400.0
MiGxT8x1,BULGARIA 1,CHAMPIONSHIP GROUP,2025-05-13,11:45,Cherno More,Ludogorets,3.5,1.88,3.45,1.55,2.37,3.2,1.32,7.4,1.07,2.9,2.75,2.75,1.12,5.6,1.5,2.5,2.45,1.5,4.4,1.19,7.9,1.06,1.95,1.75,1.47,1.42,1.42,5.6,6.7,13.5,37.0,7.3,5.7,11.25,32.0,15.0,11.25,16.5,50.0,40.0,32.0,45.0,100.0,1000.0
lWkXlOqL,FINLAND 2,-,2025-05-13,12:30,SJK Akatemia,PK-35,3.65,2.22,2.55,0.0,0.0,2.35,1.47,0.0,0.0,3.25,3.55,2.0,0.0,0.0,1.2,3.6,1.62,2.05,2.45,1.42,0.0,0.0,1.55,2.15,1.78,1.25,1.29,13.0,9.25,11.0,19.0,12.5,7.1,8.5,14.5,19.0,11.25,12.5,21.0,45.0,25.0,28.0,45.0,300.0
t6nPjpF8,FINLAND 2,-,2025-05-13,12:30,JIPPO,Lahti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neL3AM0U,ROMANIA 2,CHAMPIONSHIP GROUP,2025-05-13,13:30,FC Arges,FC Voluntari,2.77,1.91,4.35,1.55,2.35,3.4,1.29,7.8,1.06,2.05,3.1,3.8,1.1,6.1,1.47,2.57,2.35,1.55,4.25,1.2,7.6,1.06,2.02,1.7,1.28,1.33,1.78,6.1,9.0,21.0,65.0,5.7,6.4,14.0,45.0,9.0,9.75,19.0,60.0,20.0,21.0,45.0,120.0,1250.0
QDz2XXk3,NETHERLANDS 1,RELEGATION,2025-05-13,13:45,Telstar,Den Haag,2.52,2.37,3.4,1.27,3.55,2.15,1.65,4.35,1.19,2.07,3.75,3.1,1.03,10.5,1.15,5.0,1.45,2.6,2.07,1.7,3.35,1.29,1.42,2.67,1.39,1.26,1.78,10.5,14.5,23.0,45.0,11.75,8.5,11.75,24.0,15.0,9.5,11.5,24.0,24.0,15.0,18.5,35.0,175.0
CEjwG1DO,SWEDEN 2,ROUND 7,2025-05-13,14:00,Helsingborg,Brage,2.6,2.2,4.33,1.38,2.82,2.62,1.44,5.6,1.11,1.95,3.5,3.75,1.07,7.0,1.33,3.05,1.95,1.75,3.3,1.29,5.7,1.11,1.8,1.95,1.25,1.29,1.8,10.0,11.0,19.0,41.0,7.0,6.5,13.0,34.0,9.0,8.5,15.0,41.0,17.0,17.0,29.0,51.0,251.0
ULNHwPmn,SPAIN 1,ROUND 36,2025-05-13,14:00,Valladolid,Girona,5.0,2.3,2.2,1.39,2.95,2.65,1.47,6.1,1.12,4.75,3.9,1.67,1.06,9.5,1.28,3.75,1.82,2.0,3.0,1.4,5.5,1.15,1.8,1.95,2.15,1.25,1.18,12.0,7.5,8.0,13.0,13.0,7.5,8.5,13.0,26.0,15.0,15.0,23.0,51.0,41.0,41.0,51.0,201.0
8rJBAeSP,EGYPT 1,CHAMPIONSHIP GROUP,2025-05-13,14:00,Haras El Hodood,National Bank Egypt,5.1,1.98,2.42,1.5,2.42,3.1,1.32,6.8,1.07,4.65,3.1,1.85,1.11,5.6,1.47,2.5,2.37,1.52,4.25,1.18,7.3,1.06,2.12,1.65,1.95,1.32,1.2,5.6,5.3,7.5,15.0,9.5,6.2,8.75,17.5,24.0,16.0,19.5,37.0,90.0,60.0,75.0,120.0,0.0
SSar5Zkm,EGYPT 1,CHAMPIONSHIP GROUP,2025-05-13,14:00,Zamalek,Pyramids,3.65,2.02,2.92,1.42,2.67,2.67,1.42,5.9,1.1,3.15,2.95,2.35,1.08,6.4,1.37,2.87,2.1,1.65,3.5,1.26,6.1,1.09,1.78,1.93,1.6,1.35,1.36,6.4,7.2,11.0,25.0,9.0,5.7,9.0,20.0,16.5,10.75,13.5,30.0,45.0,29.0,35.0,65.0,600.0
UkNFG7pf,BULGARIA 1,CONFERENCE LEAGUE GROUP,2025-05-13,14:15,CSKA Sofia,Spartak Varna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E9m8JL2U,SPAIN 1,ROUND 36,2025-05-13,15:00,Real Sociedad,Celta Vigo,2.88,2.1,3.75,1.39,2.92,2.65,1.47,6.1,1.12,2.3,3.3,3.1,1.08,8.25,1.35,3.25,2.02,1.8,3.5,1.31,6.5,1.12,1.8,1.95,1.36,1.33,1.57,9.5,9.5,15.0,34.0,8.0,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
Ya12KEHj,ITALY 2,ROUND 34,2025-05-13,15:30,Sudtirol,Bari,4.5,2.1,2.6,1.39,2.92,2.67,1.45,6.1,1.12,3.6,3.4,1.91,1.07,8.5,1.34,3.3,2.0,1.82,3.45,1.32,6.4,1.12,1.95,1.8,1.73,1.29,1.25,9.0,6.5,8.5,17.0,9.5,6.5,9.0,17.0,19.0,13.0,17.0,29.0,41.0,34.0,41.0,51.0,351.0
lSPVPzfT,ITALY 2,ROUND 34,2025-05-13,15:30,Spezia,Cosenza,2.0,2.4,6.0,1.38,3.0,2.6,1.47,5.9,1.12,1.48,4.0,6.25,1.05,10.0,1.25,3.95,1.75,2.07,2.82,1.44,5.1,1.17,1.8,1.95,1.13,1.25,2.5,12.0,17.0,34.0,67.0,7.5,8.0,19.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
dK7ORdPG,ITALY 2,ROUND 34,2025-05-13,15:30,Sassuolo,Frosinone,4.0,2.25,2.6,1.42,2.8,2.7,1.45,6.2,1.11,3.4,3.5,1.95,1.07,9.0,1.29,3.7,1.85,1.98,3.0,1.4,5.4,1.15,1.7,2.05,1.8,1.29,1.3,12.0,8.5,10.0,17.0,12.0,7.0,8.5,15.0,19.0,12.0,13.0,23.0,41.0,26.0,34.0,41.0,201.0
0hEFTIf4,ITALY 2,ROUND 34,2025-05-13,15:30,Pisa,Cremonese,3.75,2.2,2.75,1.38,3.0,2.65,1.47,6.0,1.12,3.0,3.5,2.15,1.05,10.25,1.26,3.95,1.78,2.05,2.87,1.42,5.1,1.17,1.7,2.05,1.67,1.29,1.36,12.0,8.5,11.0,21.0,10.0,7.0,9.0,17.0,17.0,11.0,13.0,26.0,34.0,23.0,29.0,41.0,201.0
SvG7VvQi,ITALY 2,ROUND 34,2025-05-13,15:30,Palermo,Carrarese,2.4,2.25,4.33,1.4,2.87,2.67,1.45,6.1,1.11,1.83,3.4,3.9,1.06,9.25,1.28,3.7,1.83,1.98,3.0,1.39,5.5,1.15,1.75,2.0,1.22,1.29,1.8,11.0,13.0,21.0,41.0,8.0,7.0,13.0,34.0,9.5,8.5,13.0,34.0,15.0,15.0,23.0,41.0,201.0
