Date,Time,League,Home,Away,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_1X_Back,Odd_1X_Lay,Odd_X2_Back,Odd_X2_Lay,Odd_12_Back,Odd_12_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Double_Chance,IDMercado_Over_Under_05_Goals,IDMercado_Over_Under_15_Goals,IDMercado_Over_Under_25_Goals,IDMercado_Over_Under_35_Goals,IDMercado_Over_Under_45_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,ID_Evento,First_Half_Goals_0.5_5851482,First_Half_Goals_0.5_5851483,Double_Chance_6384646,Double_Chance_6384647,Double_Chance_6384648,First_Half_Goals_2.5_47972,First_Half_Goals_2.5_47973,Over_Under_4.5_Goals_1222347,Over_Under_4.5_Goals_1222346,Over_Under_2.5_Goals_47972,Over_Under_2.5_Goals_47973,Correct_Score_1,Correct_Score_4,Correct_Score_9,Correct_Score_16,Correct_Score_2,Correct_Score_3,Correct_Score_8,Correct_Score_15,Correct_Score_5,Correct_Score_6,Correct_Score_7,Correct_Score_14,Correct_Score_10,Correct_Score_11,Correct_Score_12,Correct_Score_13,Correct_Score_9063254,Correct_Score_9063255,Correct_Score_9063256,First_Half_Goals_1.5_1221385,First_Half_Goals_1.5_1221386,Over_Under_0.5_Goals_5851482,Over_Under_0.5_Goals_5851483,Both_teams_to_Score_30246,Both_teams_to_Score_110503,Over_Under_3.5_Goals_1222344,Over_Under_3.5_Goals_1222345,Over_Under_1.5_Goals_1221385,Over_Under_1.5_Goals_1221386,IDMercado_First_Half_Goals_0.5,IDMercado_First_Half_Goals_2.5,IDMercado_Over_Under_4.5_Goals,IDMercado_Over_Under_2.5_Goals,IDMercado_First_Half_Goals_1.5,IDMercado_Over_Under_0.5_Goals,IDMercado_Over_Under_3.5_Goals,IDMercado_Over_Under_1.5_Goals,_merge
2025-05-13,11:00:00,EGYPT 1,Pharco FC,Al-Masry,1.01,1000.0,1.01,20.0,1.19,1.42,3.35,6.4,1.04,1.11,10.5,110.0,4.0,5.2,2.1,2.3,2.76,3.45,1.76,1.91,1.25,1.31,1.45,1.57,5.7,9.0,1.12,1.18,2.34,2.9,1.53,1.74,1.44,1.53,2.88,3.25,1.15,1.19,5.5,8.6,1.05,1.07,15.0,24.0,2.28,2.5,1.66,1.77,1.03,8.8,1.03,6.4,1.03,12.0,1.03,32.0,1.03,11.0,1.03,7.4,1.03,12.5,1.03,36.0,1.03,34.0,1.03,22.0,1.03,29.0,1.03,90.0,1.03,160.0,1.03,110.0,1.03,150.0,1.03,1000.0,110.0,190.0,30.0,38.0,1.03,1000.0,1.243580843,1.243580845,1.243580838,10539864.0,11162123.0,58805.0,1.24358084,1.243580841,1.243580844,1.243580888,1.243580885,1.243580889,1.243580886,1.243580924,1.243580849,34304726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,11:00:00,EGYPT 1,Ceramica Cleopatra,Al Ahly Cairo,2.92,4.3,1.3,1.52,1.51,1.61,2.62,2.94,1.11,1.21,5.9,9.6,5.5,7.4,1.62,1.7,3.75,5.2,2.4,2.68,1.18,1.22,1.27,1.32,4.3,110.0,1.01,1.09,3.8,5.0,1.25,1.31,2.14,2.38,1.73,1.87,1.45,1.54,2.58,3.25,1.16,1.29,4.5,7.4,1.8,1.94,2.06,2.5,1.03,25.0,7.2,11.5,7.6,10.5,1.03,16.5,1.03,23.0,7.4,12.0,7.4,12.0,1.03,19.5,1.03,60.0,1.03,28.0,1.03,25.0,1.03,40.0,1.03,1000.0,1.03,90.0,1.03,90.0,1.03,1000.0,55.0,95.0,6.4,8.4,1.03,1000.0,1.243570297,1.243570299,1.243570292,37456793.0,4768314.0,58805.0,1.243570294,1.243570295,1.243570298,1.243570342,1.243570339,1.243570343,1.24357034,1.243570378,1.243570303,34304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,11:45:00,BULGARIA 1,Cherno More,Ludogorets,2.18,3.2,1.46,1.84,1.2,1.5,3.0,6.0,1.04,1.13,9.2,110.0,3.0,3.35,2.68,3.0,2.92,3.2,1.5,1.59,1.43,1.49,1.46,1.52,6.2,10.5,1.12,1.19,2.38,3.3,1.51,1.65,1.52,1.65,2.38,2.94,1.18,1.24,4.6,7.2,1.06,1.1,11.0,19.5,2.06,2.32,1.75,1.94,6.2,10.0,6.4,10.0,1.03,21.0,1.03,60.0,1.03,10.5,5.4,8.4,1.03,17.0,1.03,50.0,1.03,23.0,1.03,18.0,1.03,29.0,1.03,85.0,1.03,70.0,1.03,60.0,1.03,90.0,1.03,1000.0,38.0,70.0,32.0,60.0,1.03,1000.0,1.243618249,1.24361825,1.243618251,427650.0,5112599.0,58805.0,1.243618239,1.243618288,1.24361824,1.243618241,1.243618242,1.243618243,1.243618244,1.243618286,1.243618287,34308247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,13:30:00,ROMANIA 2,Arges Pitesti,FC Voluntari,1.01,1000.0,1.01,20.0,1.04,1000.0,1.04,1000.0,1.01,28.0,1.01,1000.0,1.04,990.0,1.05,1000.0,1.04,1000.0,1.02,26.0,1.02,36.0,1.01,110.0,1.1,1000.0,1.01,18.0,1.1,980.0,1.02,18.0,1.07,980.0,1.02,21.0,1.07,990.0,1.03,26.0,1.04,990.0,1.1,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.243512019,1.24351202,1.243512021,1557297.0,8838645.0,58805.0,1.243512009,1.243512058,1.24351201,1.243512011,1.243512012,1.243512013,1.243512014,1.243512056,1.243512057,34299595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,14:00:00,SWEDEN 2,Helsingborgs,IK Brage,2.98,3.4,1.45,1.5,1.43,1.52,2.92,3.8,1.09,1.16,7.2,12.5,2.02,2.1,3.9,4.4,3.4,3.95,1.3,1.35,1.9,1.99,1.35,1.41,9.2,15.5,1.07,1.12,3.1,4.4,1.3,1.48,1.71,2.16,1.86,2.42,1.25,1.38,3.65,4.9,1.09,1.15,7.6,12.0,1.03,2.4,1.71,1000.0,10.0,15.5,10.5,21.0,21.0,46.0,1.03,1000.0,6.8,13.0,6.2,11.5,12.0,24.0,1.03,75.0,9.4,18.5,7.8,15.5,13.5,28.0,1.03,90.0,18.0,36.0,16.0,34.0,1.03,55.0,1.03,1000.0,9.6,23.0,34.0,85.0,1.03,1000.0,1.24342065,1.243420651,1.243420652,764222.0,502308.0,58805.0,1.24342064,1.243420689,1.243420641,1.243420642,1.243420643,1.243420644,1.243420645,1.243420687,1.243420688,34291525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,14:00:00,EGYPT 1,Haras El Hodood,National Bank,2.3,3.25,1.45,1.76,1.31,1.38,3.2,4.9,1.06,1.11,10.0,18.0,4.7,7.4,1.8,2.04,2.84,3.85,1.96,2.4,1.15,1.23,1.37,1.45,7.0,11.5,1.09,1.17,2.42,3.25,1.45,1.71,1.57,1.72,2.38,3.1,1.2,1.29,4.4,6.8,1.07,1.11,10.5,18.0,2.2,2.7,1.71,1.83,7.0,11.5,4.8,7.6,7.2,12.0,1.03,26.0,1.03,17.5,6.0,9.6,8.0,13.0,1.03,32.0,1.03,55.0,1.03,29.0,1.03,32.0,1.03,70.0,1.03,1000.0,1.03,140.0,1.03,1000.0,1.03,1000.0,130.0,1000.0,14.5,25.0,1.03,1000.0,1.243581113,1.243581115,1.243581108,5168506.0,10492935.0,58805.0,1.24358111,1.243581111,1.243581114,1.243581158,1.243581155,1.243581159,1.243581156,1.243581194,1.243581119,34304690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,14:00:00,EGYPT 1,Zamalek,Pyramids,2.42,3.45,1.41,1.7,1.31,1.51,2.96,4.3,1.07,1.13,8.8,15.5,2.96,4.1,2.26,2.96,2.72,3.95,1.57,1.72,1.35,1.46,1.37,1.48,3.5,110.0,1.01,1.4,2.88,3.85,1.35,1.53,1.68,1.87,2.14,2.46,1.25,1.36,3.75,5.0,1.06,1.36,3.75,18.0,1.9,2.06,1.94,2.1,8.0,13.0,6.6,11.0,11.0,18.5,1.03,46.0,8.0,13.5,5.5,8.8,8.8,14.5,1.03,38.0,1.03,28.0,10.5,18.0,1.03,24.0,1.03,65.0,1.03,80.0,1.03,60.0,1.03,75.0,1.03,160.0,36.0,65.0,18.0,36.0,1.03,1000.0,1.243580933,1.243580935,1.243580928,5174134.0,19918253.0,58805.0,1.24358093,1.243580931,1.243580934,1.243580978,1.243580975,1.243580979,1.243580976,1.243581014,1.243580939,34304698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,14:00:00,SPAIN 1,Valladolid,Girona,3.35,4.3,1.3,1.43,1.52,1.58,2.72,2.94,1.13,1.2,6.2,8.8,5.8,6.2,1.65,1.68,4.3,4.4,2.46,2.54,1.19,1.21,1.29,1.31,15.0,18.0,1.06,1.08,4.3,4.6,1.28,1.31,2.12,2.18,1.84,1.89,1.43,1.47,3.15,3.3,1.16,1.19,6.4,7.4,1.88,1.95,2.06,2.14,15.0,16.0,8.6,9.0,9.2,10.0,15.0,16.5,19.5,21.0,8.8,9.2,9.4,9.8,15.5,16.5,42.0,48.0,20.0,22.0,19.0,21.0,30.0,34.0,60.0,160.0,65.0,80.0,65.0,80.0,55.0,110.0,70.0,90.0,8.4,9.2,60.0,1000.0,1.243377631,1.243377633,1.243377624,13362.0,968185.0,58805.0,1.243377627,1.243377629,1.243377632,1.243377614,1.243377611,1.243377675,1.243377612,1.243377626,1.243377636,34288117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,14:15:00,BULGARIA 1,CSKA Sofia,Spartak Varna,3.45,5.3,1.23,1.41,1.63,1.8,2.26,2.86,1.15,1.27,4.7,7.4,1.25,1.3,12.0,21.0,6.2,9.4,1.05,1.08,4.2,5.6,1.17,1.19,6.4,110.0,1.01,1.15,4.7,7.2,1.19,1.27,2.24,3.1,1.55,1.7,1.57,1.73,2.2,3.05,1.23,1.34,3.9,5.9,1.99,2.7,1.69,1.86,1.03,32.0,1.03,60.0,1.03,1000.0,1.03,1000.0,1.03,11.5,1.03,19.0,1.03,70.0,1.03,1000.0,6.0,9.6,1.03,14.0,1.03,44.0,1.03,1000.0,1.03,11.5,1.03,17.5,1.03,55.0,1.03,1000.0,3.4,5.0,1.01,1000.0,1.03,1000.0,1.243619901,1.243619903,1.243619896,46982.0,1557407.0,58805.0,1.243619898,1.243619899,1.243619902,1.243619946,1.243619943,1.243619947,1.243619944,1.243619982,1.243619907,34308105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-13,15:00:00,SPAIN 1,Real Sociedad,Celta Vigo,2.92,3.15,1.47,1.52,1.42,1.47,3.1,3.4,1.1,1.15,7.8,10.5,2.64,2.66,2.94,2.96,3.5,3.6,1.51,1.52,1.6,1.61,1.39,1.4,12.0,13.5,1.08,1.09,3.55,3.75,1.36,1.39,1.87,1.93,2.08,2.16,1.33,1.36,3.85,4.0,1.12,1.14,8.2,9.0,1.85,1.91,2.1,2.18,12.0,12.5,10.5,11.0,16.5,18.5,40.0,55.0,10.0,10.5,7.4,7.8,11.5,12.5,30.0,34.0,15.0,17.0,11.0,12.0,17.0,19.0,42.0,48.0,34.0,40.0,27.0,30.0,40.0,46.0,70.0,110.0,23.0,26.0,28.0,30.0,60.0,1000.0,1.243362529,1.24336253,1.243362531,18573.0,66483.0,58805.0,1.243362519,1.243362572,1.24336252,1.243362521,1.243362522,1.243362523,1.243362524,1.243362567,1.243362571,34288106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
