Date,Time,League,Home,Away,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_1X_Back,Odd_1X_Lay,Odd_X2_Back,Odd_X2_Lay,Odd_12_Back,Odd_12_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Double_Chance,IDMercado_Over_Under_05_Goals,IDMercado_Over_Under_15_Goals,IDMercado_Over_Under_25_Goals,IDMercado_Over_Under_35_Goals,IDMercado_Over_Under_45_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,ID_Evento,First_Half_Goals_0.5_5851482,First_Half_Goals_0.5_5851483,Double_Chance_6384646,Double_Chance_6384647,Double_Chance_6384648,First_Half_Goals_2.5_47972,First_Half_Goals_2.5_47973,Over_Under_4.5_Goals_1222347,Over_Under_4.5_Goals_1222346,Over_Under_2.5_Goals_47972,Over_Under_2.5_Goals_47973,Correct_Score_1,Correct_Score_4,Correct_Score_9,Correct_Score_16,Correct_Score_2,Correct_Score_3,Correct_Score_8,Correct_Score_15,Correct_Score_5,Correct_Score_6,Correct_Score_7,Correct_Score_14,Correct_Score_10,Correct_Score_11,Correct_Score_12,Correct_Score_13,Correct_Score_9063254,Correct_Score_9063255,Correct_Score_9063256,First_Half_Goals_1.5_1221385,First_Half_Goals_1.5_1221386,Over_Under_0.5_Goals_5851482,Over_Under_0.5_Goals_5851483,Both_teams_to_Score_30246,Both_teams_to_Score_110503,Over_Under_3.5_Goals_1222344,Over_Under_3.5_Goals_1222345,Over_Under_1.5_Goals_1221385,Over_Under_1.5_Goals_1221386,IDMercado_First_Half_Goals_0.5,IDMercado_First_Half_Goals_2.5,IDMercado_Over_Under_4.5_Goals,IDMercado_Over_Under_2.5_Goals,IDMercado_First_Half_Goals_1.5,IDMercado_Over_Under_0.5_Goals,IDMercado_Over_Under_3.5_Goals,IDMercado_Over_Under_1.5_Goals,_merge
2025-05-01,04:30:00,CHINA 1,Dalian Yingbo,Yunnan Yukun,3.05,3.45,1.41,1.49,1.44,1.52,2.92,3.25,1.09,1.17,7.0,11.5,2.12,2.2,3.8,4.1,3.5,3.65,1.32,1.36,1.83,1.9,1.38,1.4,12.0,15.5,1.07,1.09,3.6,4.4,1.29,1.39,1.9,2.04,1.97,2.12,1.35,1.4,3.5,3.8,1.13,1.16,7.4,8.8,1.79,1.92,2.08,2.26,12.0,14.0,12.5,22.0,24.0,28.0,13.0,80.0,9.0,13.0,7.4,8.0,14.0,16.0,40.0,70.0,11.5,14.0,9.8,11.0,16.5,21.0,30.0,60.0,23.0,27.0,12.5,23.0,32.0,38.0,13.5,100.0,9.0,17.0,38.0,75.0,8.4,1000.0,1.242965127,1.242965128,1.242965129,67154937.0,55896077.0,58805.0,1.242965117,1.242965166,1.242965118,1.242965119,1.24296512,1.242965121,1.242965122,1.242965164,1.242965165,34258605.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,07:30:00,CHINA 1,Sichuan Jiuniu FC,Tianjin Jinmen Tiger FC,2.96,3.35,1.43,1.51,1.43,1.52,2.92,3.3,1.09,1.17,7.0,11.5,3.15,3.5,2.28,2.48,3.4,3.8,1.68,1.77,1.4,1.46,1.35,1.42,13.5,15.5,1.07,1.08,3.7,4.3,1.3,1.37,1.92,2.08,1.93,2.08,1.35,1.42,3.4,3.85,1.14,1.17,6.8,8.2,1.76,1.87,2.14,2.32,10.0,17.0,9.4,12.5,13.0,18.5,5.6,40.0,11.5,16.0,7.2,9.8,10.0,14.0,18.5,30.0,17.5,28.0,12.0,17.5,15.5,22.0,4.2,48.0,4.3,70.0,4.2,46.0,4.2,60.0,4.4,120.0,24.0,42.0,16.5,24.0,4.5,1000.0,1.243020024,1.243020026,1.243020019,17714225.0,50443178.0,58805.0,1.243020021,1.243020012,1.243020025,1.243020035,1.243020031,1.243019977,1.243020032,1.24302002,1.24302003,34261920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,07:30:00,ITALY 2,Juve Stabia,Catanzaro,3.2,4.1,1.33,1.46,1.46,1.55,2.8,3.15,1.1,1.18,6.6,10.5,2.18,2.28,3.55,3.8,3.55,3.65,1.35,1.39,1.78,1.85,1.38,1.4,12.0,15.5,1.07,1.09,3.7,4.2,1.32,1.38,1.97,2.04,1.97,2.04,1.36,1.41,3.4,3.75,1.13,1.16,7.2,8.4,1.76,1.85,2.16,2.3,12.5,15.0,13.0,16.0,23.0,29.0,7.6,75.0,9.2,12.5,7.4,8.4,13.5,17.5,36.0,48.0,12.5,15.0,10.0,11.5,16.0,19.0,7.4,55.0,24.0,30.0,20.0,26.0,32.0,40.0,7.6,110.0,14.0,18.0,34.0,42.0,7.6,1000.0,1.2430248,1.243024801,1.243024802,1270340.0,522058.0,58805.0,1.24302479,1.243024839,1.243024791,1.243024792,1.243024793,1.243024794,1.243024795,1.243024837,1.243024838,34262272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,08:00:00,CHINA 1,Henan Songshan Longmen,Wuhan Three Towns,3.15,3.6,1.39,1.47,1.47,1.55,2.8,3.1,1.1,1.19,6.4,10.5,1.95,2.08,3.85,4.4,3.6,4.0,1.3,1.34,1.92,2.06,1.33,1.38,13.5,18.0,1.06,1.08,4.0,5.2,1.24,1.34,2.04,2.22,1.81,1.97,1.4,1.47,3.15,3.5,1.14,1.26,4.9,8.2,1.63,1.85,2.16,2.6,13.0,18.0,13.5,19.0,13.0,42.0,7.6,95.0,9.2,10.5,7.6,9.0,13.5,25.0,7.0,48.0,11.5,15.5,9.4,11.0,15.5,22.0,38.0,55.0,20.0,42.0,16.5,34.0,6.8,36.0,10.5,160.0,11.0,15.5,7.2,60.0,8.0,1000.0,1.243015196,1.243015197,1.243015198,50443412.0,23228754.0,58805.0,1.243015186,1.243015235,1.243015187,1.243015188,1.243015189,1.24301519,1.243015191,1.243015233,1.243015234,34261912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,08:00:00,CHINA 1,Zhejiang Greentown,Changchun Yatai,3.75,4.9,1.25,1.36,1.63,1.74,2.34,2.58,1.15,1.26,4.9,7.6,1.58,1.65,5.5,6.4,4.6,5.1,1.18,1.22,2.52,2.74,1.25,1.28,17.5,36.0,1.04,1.06,5.6,6.4,1.18,1.22,2.58,2.84,1.54,1.64,1.64,1.74,2.34,2.56,1.26,1.32,4.1,4.9,1.65,1.77,2.3,2.52,18.5,29.0,25.0,30.0,8.8,55.0,9.8,170.0,10.5,13.5,10.0,12.0,20.0,24.0,46.0,75.0,10.0,11.5,9.2,11.0,16.0,19.0,9.2,100.0,14.0,17.5,13.0,15.5,22.0,27.0,9.4,85.0,5.6,6.4,38.0,65.0,9.8,620.0,1.243017887,1.243017888,1.243017889,23257633.0,2899297.0,58805.0,1.243017877,1.243017926,1.243017878,1.243017879,1.24301788,1.243017881,1.243017882,1.243017924,1.243017925,34262092.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,08:30:00,BELGIUM 1,Antwerp,Anderlecht,3.45,4.4,1.29,1.41,1.54,1.62,2.6,2.86,1.12,1.21,5.8,9.4,2.6,2.76,2.68,2.84,3.65,3.8,1.54,1.58,1.56,1.62,1.35,1.38,11.0,21.0,1.06,1.08,4.4,4.8,1.26,1.3,2.18,2.3,1.76,1.85,1.46,1.53,2.88,3.2,1.17,1.28,4.5,7.0,1.64,1.74,2.34,2.54,1.03,22.0,11.5,13.5,1.03,24.0,1.03,42.0,11.5,16.0,7.8,8.8,11.0,12.5,1.03,29.0,1.03,19.5,10.5,12.5,13.5,16.0,1.03,36.0,1.03,38.0,1.03,27.0,1.03,36.0,1.03,85.0,14.5,20.0,18.5,21.0,1.03,1000.0,1.243028831,1.243028833,1.243028826,3247346.0,58163.0,58805.0,1.243028828,1.243028829,1.243028832,1.243028876,1.243028873,1.243028877,1.243028874,1.243028912,1.243028837,34262450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,08:35:00,CHINA 1,Shandong Taishan,Qingdao Jonoon,4.5,5.0,1.25,1.28,1.79,1.95,2.04,2.26,1.2,1.29,4.4,6.0,1.23,1.26,12.0,16.0,7.0,8.2,1.07,1.09,4.9,5.4,1.13,1.15,3.15,55.0,1.02,1.06,3.55,10.5,1.11,1.19,3.05,3.45,1.41,1.49,1.85,2.12,1.89,2.18,1.37,1.44,3.3,3.75,1.9,2.04,1.96,2.12,4.9,42.0,4.9,55.0,5.2,170.0,5.4,560.0,10.5,15.5,15.0,21.0,36.0,50.0,5.2,220.0,8.0,11.5,10.0,13.5,4.7,38.0,5.2,160.0,8.8,12.5,11.5,16.5,4.7,40.0,5.2,160.0,3.1,3.95,5.2,210.0,5.3,1000.0,1.243020132,1.243020134,1.243020127,50443279.0,9909548.0,58805.0,1.243020129,1.24302012,1.243020133,1.243020143,1.243020139,1.243020085,1.24302014,1.243020128,1.243020138,34262041.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,08:35:00,CHINA 1,Shanghai Port FC,Beijing Guoan,3.8,5.8,1.21,1.36,1.75,1.89,2.12,2.32,1.18,1.32,4.1,6.4,2.16,2.34,3.15,3.45,3.8,4.4,1.4,1.47,1.74,1.87,1.29,1.36,2.8,55.0,1.02,1.06,3.5,8.8,1.13,1.38,2.94,3.25,1.45,1.52,1.8,1.92,2.08,2.26,1.33,1.39,3.55,4.1,1.43,1.49,3.0,3.3,7.2,40.0,12.0,29.0,13.5,38.0,7.8,120.0,6.8,23.0,6.8,10.5,7.8,26.0,7.2,29.0,10.5,25.0,5.5,21.0,11.5,14.0,7.2,50.0,8.0,60.0,7.0,34.0,10.5,40.0,7.4,44.0,6.8,15.0,6.4,30.0,3.9,280.0,1.242928236,1.242928238,1.242928231,51006167.0,2955487.0,58805.0,1.242928233,1.242928234,1.242928237,1.242928281,1.242928278,1.242928282,1.242928279,1.242928317,1.242928242,34255495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,10:00:00,ITALY 2,Cosenza,SSD Bari,2.84,3.6,1.38,1.54,1.38,1.44,3.25,3.6,1.07,1.14,8.4,14.0,3.65,3.75,2.32,2.4,3.25,3.35,1.71,1.75,1.37,1.38,1.42,1.45,10.0,12.5,1.09,1.11,3.15,3.45,1.41,1.46,1.73,1.81,2.22,2.36,1.27,1.32,4.1,4.8,1.1,1.12,8.0,11.0,1.89,1.98,2.02,2.12,10.0,11.5,8.0,10.0,12.0,14.5,27.0,32.0,11.0,12.0,7.0,7.4,10.0,11.5,23.0,28.0,21.0,25.0,14.0,15.0,14.5,22.0,38.0,55.0,34.0,70.0,11.5,48.0,30.0,100.0,14.0,130.0,12.0,55.0,12.0,25.0,13.5,1000.0,1.24292906,1.242929062,1.242929055,60302.0,20830801.0,58805.0,1.242929057,1.242929058,1.242929061,1.242929105,1.242929102,1.242929106,1.242929103,1.242929141,1.242929066,34255729.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-05-01,10:00:00,ITALY 2,Spezia,Salernitana,3.15,3.75,1.36,1.46,1.47,1.54,2.84,3.15,1.1,1.18,6.6,11.0,1.88,1.9,5.3,5.7,3.45,3.55,1.21,1.24,2.12,2.18,1.37,1.4,12.5,15.5,1.08,1.09,3.85,4.3,1.31,1.35,1.98,2.04,1.96,2.02,1.38,1.42,3.35,3.6,1.14,1.17,7.0,8.0,1.81,1.9,2.1,2.24,12.5,15.0,17.0,19.0,32.0,44.0,18.0,160.0,8.0,9.0,7.0,7.8,18.5,21.0,32.0,75.0,10.0,11.5,9.4,10.0,15.5,17.5,38.0,130.0,17.5,19.5,17.0,19.0,30.0,36.0,17.0,140.0,10.5,12.0,18.5,85.0,14.5,1000.0,1.242919938,1.242919939,1.24291994,522041.0,60303.0,58805.0,1.242919928,1.242919977,1.242919929,1.24291993,1.242919931,1.242919932,1.242919933,1.242919975,1.242919976,34255721.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
